Wavelength,Transmission
1.61998,0.0999477
1.62098,0.0999292
1.62198,0.0999107
1.62298,0.0998923
1.62398,0.099874
1.62498,0.0998557
1.62598,0.0998375
1.62698,0.0998193
1.62798,0.0998012
1.62898,0.0997831
1.62998,0.0997651
1.63098,0.0997471
1.63199,0.0997292
1.63299,0.0997113
1.63399,0.0996935
1.63499,0.0996757
1.63599,0.099658
1.63699,0.0996403
1.63799,0.0996227
1.63899,0.0996051
1.63999,0.0995876
1.64099,0.0995702
1.64199,0.0995527
1.64299,0.0995354
1.644,0.0995181
1.645,0.0995008
1.646,0.0994836
1.647,0.0994664
1.648,0.0994493
1.649,0.0994322
1.65,0.0994152
