Wavelength(um),R_with,R_without
0.952442,0.0236715,0.0343914
0.953443,0.0232295,0.0343893
0.954444,0.0227923,0.0343872
0.955444,0.0223599,0.0343852
0.956445,0.0219324,0.0343831
0.957446,0.0215099,0.0343812
0.958447,0.0210922,0.0343792
0.959448,0.0206796,0.0343773
0.960448,0.020272,0.0343753
0.961449,0.0198695,0.0343735
0.96245,0.019472,0.0343716
0.963451,0.0190796,0.0343698
0.964452,0.0186924,0.0343679
0.965452,0.0183103,0.0343661
0.966453,0.0179334,0.0343644
0.967454,0.0175616,0.0343626
0.968455,0.0171951,0.0343609
0.969456,0.0168337,0.0343592
0.970456,0.0164776,0.0343575
0.971457,0.0161267,0.0343559
0.972458,0.015781,0.0343542
0.973459,0.0154405,0.0343526
0.97446,0.0151053,0.034351
0.97546,0.0147754,0.0343495
0.976461,0.0144506,0.0343479
0.977462,0.0141311,0.0343464
0.978463,0.0138169,0.0343449
0.979464,0.0135078,0.0343434
0.980464,0.013204,0.0343419
0.981465,0.0129054,0.0343404
0.982466,0.012612,0.034339
0.983467,0.0123238,0.0343376
0.984468,0.0120408,0.0343362
0.985468,0.011763,0.0343348
0.986469,0.0114903,0.0343334
0.98747,0.0112227,0.0343321
0.988471,0.0109604,0.0343308
0.989472,0.0107031,0.0343294
0.990472,0.0104509,0.0343281
0.991473,0.0102038,0.0343269
0.992474,0.00996184,0.0343256
0.993475,0.00972489,0.0343243
0.994476,0.00949298,0.0343231
0.995476,0.00926609,0.0343219
0.996477,0.00904421,0.0343207
0.997478,0.00882731,0.0343195
0.998479,0.00861537,0.0343183
0.99948,0.00840838,0.0343171
1.00048,0.00820631,0.034316
1.00148,0.00800915,0.0343149
1.00248,0.00781688,0.0343137
1.00348,0.00762948,0.0343126
1.00448,0.00744692,0.0343115
1.00548,0.00726919,0.0343105
1.00649,0.00709626,0.0343094
1.00749,0.00692812,0.0343083
1.00849,0.00676475,0.0343073
1.00949,0.00660612,0.0343062
1.01049,0.00645222,0.0343052
1.01149,0.00630303,0.0343042
1.01249,0.00615852,0.0343032
1.01349,0.00601868,0.0343022
1.01449,0.00588348,0.0343012
1.01549,0.00575291,0.0343003
1.01649,0.00562694,0.0342993
1.01749,0.00550556,0.0342984
1.01849,0.00538874,0.0342974
1.0195,0.00527648,0.0342965
1.0205,0.00516874,0.0342956
1.0215,0.0050655,0.0342947
1.0225,0.00496676,0.0342938
1.0235,0.00487249,0.0342929
1.0245,0.00478266,0.034292
1.0255,0.00469727,0.0342911
1.0265,0.00461629,0.0342903
1.0275,0.00453971,0.0342894
1.0285,0.00446749,0.0342886
1.0295,0.00439964,0.0342877
1.0305,0.00433612,0.0342869
1.03151,0.00427692,0.0342861
1.03251,0.00422202,0.0342852
1.03351,0.0041714,0.0342844
1.03451,0.00412505,0.0342836
1.03551,0.00408293,0.0342828
1.03651,0.00404505,0.034282
1.03751,0.00401136,0.0342813
1.03851,0.00398187,0.0342805
1.03951,0.00395655,0.0342797
1.04051,0.00393537,0.0342789
1.04151,0.00391832,0.0342782
1.04251,0.00390539,0.0342774
1.04351,0.00389655,0.0342767
1.04452,0.00389178,0.034276
1.04552,0.00389107,0.0342752
1.04652,0.00389438,0.0342745
1.04752,0.00390172,0.0342738
1.04852,0.00391304,0.034273
1.04952,0.00392834,0.0342723
1.05052,0.0039476,0.0342716
1.05152,0.00397079,0.0342709
1.05252,0.00399788,0.0342702
1.05352,0.00402887,0.0342695
1.05452,0.00406373,0.0342688
1.05552,0.00410244,0.0342681
1.05653,0.00414498,0.0342675
1.05753,0.00419132,0.0342668
1.05853,0.00424144,0.0342661
1.05953,0.00429532,0.0342654
1.06053,0.00435294,0.0342648
1.06153,0.00441428,0.0342641
1.06253,0.0044793,0.0342635
