wl,n,k
0.94,5.378838,0.9300821
0.941,5.378477,0.9255321
0.942,5.378063,0.9209978
0.943,5.377596,0.9164802
0.944,5.377077,0.9119804
0.945,5.376506,0.9074997
0.946,5.375884,0.903039
0.947,5.375212,0.8985995
0.948,5.37449,0.8941821
0.949,5.373719,0.8897879
0.95,5.372899,0.8854178
0.951,5.372032,0.8810729
0.952,5.371117,0.8767539
0.953,5.370156,0.8724619
0.954,5.369149,0.8681977
0.955,5.368097,0.8639621
0.956,5.367001,0.859756
0.957,5.365861,0.8555803
0.958,5.364678,0.8514356
0.959,5.363453,0.8473227
0.96,5.362187,0.8432424
0.961,5.36088,0.8391954
0.962,5.359533,0.8351824
0.963,5.358147,0.8312041
0.964,5.356723,0.827261
0.965,5.355261,0.8233539
0.966,5.353762,0.8194833
0.967,5.352227,0.8156499
0.968,5.350657,0.8118542
0.969,5.349052,0.8080967
0.97,5.347414,0.804378
0.971,5.345743,0.8006986
0.972,5.344039,0.7970591
0.973,5.342304,0.7934598
0.974,5.340539,0.7899013
0.975,5.338744,0.7863839
0.976,5.33692,0.7829082
0.977,5.335068,0.7794746
0.978,5.333188,0.7760833
0.979,5.331282,0.7727349
0.98,5.329349,0.7694297
0.981,5.327392,0.7661681
0.982,5.325411,0.7629503
0.983,5.323405,0.7597768
0.984,5.321378,0.7566478
0.985,5.319328,0.7535636
0.986,5.317257,0.7505246
0.987,5.315166,0.747531
0.988,5.313054,0.7445831
0.989,5.310925,0.7416811
0.99,5.308777,0.7388253
0.991,5.306611,0.7360159
0.992,5.304429,0.7332532
0.993,5.302232,0.7305373
0.994,5.300019,0.7278685
0.995,5.297792,0.7252469
0.996,5.295552,0.7226728
0.997,5.293298,0.7201463
0.998,5.291033,0.7176676
0.999,5.288756,0.7152368
1,5.286469,0.7128541
1.0025,5.28071,0.7071088
1.005,5.274902,0.701667
1.0075,5.269056,0.6965304
1.01,5.263184,0.6917007
1.0125,5.257298,0.6871789
1.015,5.251409,0.682966
1.0175,5.245529,0.6790629
1.02,5.23967,0.67547
1.0225,5.233843,0.6721875
1.025,5.228061,0.6692156
1.0275,5.222336,0.6665539
1.03,5.216679,0.6642021
1.0325,5.211103,0.6621594
1.035,5.205621,0.6604248
1.0375,5.200245,0.6589968
1.04,5.194989,0.657874
1.0425,5.189865,0.6570542
1.045,5.184887,0.6565349
1.0475,5.180069,0.6563133
1.05,5.175424,0.656386
1.0525,5.170968,0.656749
1.055,5.166713,0.6573979
1.0575,5.162676,0.6583275
1.06,5.158871,0.6595319
1.0625,5.155314,0.6610044
1.065,5.152019,0.6627376
1.0675,5.149002,0.6647231
1.07,5.146279,0.6669515
1.0725,5.143865,0.6694125
1.075,5.141775,0.6720946
1.0775,5.140026,0.6749853
1.08,5.138632,0.6780708
1.0825,5.137607,0.6813362
1.085,5.136965,0.6847653
1.0875,5.136719,0.6883409
1.09,5.136883,0.6920445
1.0925,5.137466,0.6958567
1.095,5.138479,0.6997568
1.0975,5.13993,0.7037238
1.1,5.141826,0.7077356
1.1025,5.144173,0.7117702
1.105,5.146974,0.7158053
1.1075,5.150229,0.719819
1.11,5.153939,0.7237902
1.1125,5.158101,0.7276991
1.115,5.16271,0.7315276
1.1175,5.167762,0.7352602
1.12,5.173251,0.7388842
1.1225,5.179169,0.7423909
1.125,5.185513,0.7457754
1.1275,5.192277,0.7490378
1.13,5.199463,0.7521832
1.1325,5.207076,0.755222
1.135,5.21513,0.7581692
1.1375,5.223649,0.7610439
1.14,5.232672,0.7638679
1.1425,5.242255,0.7666625
1.145,5.252472,0.769445
1.1475,5.263424,0.7722227
1.15,5.27524,0.7749848
1.1525,5.288074,0.7776921
1.155,5.302111,0.7802632
1.1575,5.317553,0.7825585
1.16,5.334612,0.7843617
1.1625,5.353486,0.7853631
1.165,5.374327,0.7851461
1.1675,5.397192,0.7831855
1.17,5.421993,0.7788646
1.1725,5.448444,0.77152
1.175,5.476016,0.7605157
1.1775,5.503935,0.7453448
1.18,5.531226,0.7257373
1.1825,5.556809,0.7017463
1.185,5.57964,0.6737822
1.1875,5.598852,0.6425764
1.19,5.613867,0.609081
1.1925,5.624443,0.5743335
1.195,5.630659,0.5393244
1.1975,5.63284,0.5048985
1.2,5.631478,0.471703
1.2025,5.627133,0.4401786
1.205,5.620371,0.4105812
1.2075,5.611718,0.3830187
1.21,5.601629,0.3574903
1.2125,5.590488,0.3339238
1.215,5.578605,0.3122039
1.2175,5.566226,0.2921933
1.22,5.553539,0.273748
1.2225,5.54069,0.2567259
1.225,5.527787,0.2409928
1.2275,5.514911,0.2264251
1.23,5.502122,0.2129107
1.2325,5.489461,0.2003494
1.235,5.476959,0.1886519
1.2375,5.464636,0.1777392
1.24,5.452508,0.1675412
1.2425,5.440583,0.1579961
1.245,5.428866,0.1490491
1.2475,5.417359,0.1406517
1.25,5.406064,0.1327607
1.2525,5.394979,0.1253374
