Wavelength,Transmission
1.36377,0.0910916
1.36477,0.0912753
1.36577,0.0914564
1.36677,0.0916351
1.36777,0.0918113
1.36878,0.0919851
1.36978,0.0921566
1.37078,0.0923258
1.37178,0.0924927
1.37278,0.0926574
1.37378,0.0928199
1.37478,0.0929803
1.37578,0.0931387
1.37678,0.093295
1.37778,0.0934493
1.37878,0.0936017
1.37978,0.0937522
1.38078,0.0939009
1.38179,0.0940478
1.38279,0.094193
1.38379,0.0943365
1.38479,0.0944784
1.38579,0.0946186
1.38679,0.0947574
1.38779,0.0948946
1.38879,0.0950304
1.38979,0.0951649
1.39079,0.095298
1.39179,0.0954298
1.39279,0.0955604
1.3938,0.0956898
1.3948,0.0958181
1.3958,0.0959453
1.3968,0.0960715
1.3978,0.0961967
1.3988,0.0963209
1.3998,0.0964443
1.4008,0.0965669
1.4018,0.0966887
1.4028,0.0968097
1.4038,0.0969301
1.4048,0.0970498
1.4058,0.097169
1.40681,0.0972876
1.40781,0.0974057
1.40881,0.0975234
1.40981,0.0976407
1.41081,0.0977576
1.41181,0.0978742
1.41281,0.0979906
1.41381,0.0981068
1.41481,0.0982228
1.41581,0.0983386
1.41681,0.0984544
1.41781,0.0985701
1.41882,0.0986859
1.41982,0.0988016
1.42082,0.0989175
1.42182,0.0990335
1.42282,0.0991496
1.42382,0.0992659
1.42482,0.0993825
1.42582,0.0994994
1.42682,0.0996166
1.42782,0.0997341
1.42882,0.099852
1.42982,0.0999703
1.43082,0.100089
1.43183,0.100208
1.43283,0.100328
1.43383,0.100448
1.43483,0.100569
1.43583,0.100691
1.43683,0.100813
1.43783,0.100936
1.43883,0.101059
1.43983,0.101183
1.44083,0.101308
1.44183,0.101434
1.44283,0.101561
1.44384,0.101688
1.44484,0.101816
1.44584,0.101945
1.44684,0.102075
1.44784,0.102206
1.44884,0.102337
1.44984,0.10247
1.45084,0.102603
1.45184,0.102738
1.45284,0.102873
1.45384,0.10301
1.45484,0.103147
1.45584,0.103286
1.45685,0.103425
1.45785,0.103566
1.45885,0.103708
1.45985,0.10385
1.46085,0.103994
1.46185,0.104139
1.46285,0.104285
1.46385,0.104432
1.46485,0.10458
1.46585,0.104729
1.46685,0.104879
1.46785,0.10503
1.46886,0.105182
1.46986,0.105336
1.47086,0.10549
1.47186,0.105646
1.47286,0.105803
1.47386,0.105961
1.47486,0.106119
1.47586,0.106279
1.47686,0.10644
1.47786,0.106602
1.47886,0.106765
1.47986,0.106929
1.48086,0.107095
1.48187,0.107261
1.48287,0.107428
1.48387,0.107596
1.48487,0.107765
1.48587,0.107935
1.48687,0.108106
1.48787,0.108278
1.48887,0.108451
1.48987,0.108625
1.49087,0.1088
1.49187,0.108976
1.49287,0.109152
1.49388,0.109329
1.49488,0.109508
1.49588,0.109686
1.49688,0.109866
1.49788,0.110047
1.49888,0.110228
1.49988,0.11041
1.50088,0.110593
1.50188,0.110776
1.50288,0.11096
1.50388,0.111144
1.50488,0.11133
1.50588,0.111515
1.50689,0.111702
1.50789,0.111888
1.50889,0.112076
1.50989,0.112264
1.51089,0.112452
1.51189,0.11264
1.51289,0.11283
1.51389,0.113019
1.51489,0.113209
1.51589,0.113399
1.51689,0.113589
1.51789,0.11378
1.5189,0.11397
1.5199,0.114161
1.5209,0.114352
1.5219,0.114544
1.5229,0.114735
1.5239,0.114926
1.5249,0.115118
1.5259,0.115309
1.5269,0.115501
1.5279,0.115692
1.5289,0.115883
1.5299,0.116074
1.5309,0.116265
1.53191,0.116456
1.53291,0.116646
1.53391,0.116837
1.53491,0.117027
1.53591,0.117216
1.53691,0.117406
1.53791,0.117594
1.53891,0.117783
1.53991,0.117971
1.54091,0.118158
1.54191,0.118345
1.54291,0.118532
1.54392,0.118718
1.54492,0.118903
1.54592,0.119088
1.54692,0.119271
1.54792,0.119455
1.54892,0.119637
1.54992,0.119819
1.55092,0.119999
1.55192,0.120179
1.55292,0.120359
1.55392,0.120537
1.55492,0.120714
1.55592,0.12089
1.55693,0.121066
1.55793,0.12124
1.55893,0.121413
1.55993,0.121585
1.56093,0.121756
1.56193,0.121926
1.56293,0.122094
1.56393,0.122262
1.56493,0.122428
1.56593,0.122593
1.56693,0.122756
1.56793,0.122919
1.56894,0.123079
1.56994,0.123239
1.57094,0.123397
1.57194,0.123554
1.57294,0.123709
1.57394,0.123862
1.57494,0.124015
1.57594,0.124165
1.57694,0.124314
1.57794,0.124461
1.57894,0.124607
1.57994,0.124751
1.58094,0.124894
1.58195,0.125035
1.58295,0.125174
1.58395,0.125311
1.58495,0.125446
1.58595,0.12558
1.58695,0.125712
1.58795,0.125842
1.58895,0.12597
1.58995,0.126096
1.59095,0.126221
1.59195,0.126343
1.59295,0.126464
1.59396,0.126582
1.59496,0.126699
